Dates,15:52 18 Jun. 2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle,Dynamic Loft,ImpactHorizontal,ImpactVertical,ClubSpeed,SmashFactor
7 Iron,49,118.7,R0.1,21.5,6128,L13.3,5964,L1409,38.2,165.9,167.6,L19.4,51.0,R4.5,L0.9,-2.7,29.6,H10.9,-16.6,38.1,1.4
7 Iron,50,75.6,L0.1,14.6,1153,L32.2,976,L614,16.5,160.9,174.5,L8.8,31.4,R3.6,L1.0,0.3,19.3,H0.0,0.0,35.8,0.9
7 Iron,51,116.5,R2.5,19.6,6654,R1.3,6652,R149,34.2,161.5,163.2,R8.4,49.1,R2.4,R2.6,-5.0,27.6,H0.5,-20.6,37.9,1.4
7 Iron,52,119.5,L2.8,4.3,3474,L12.1,3397,L726,5.7,141.2,174.3,L14.6,14.7,L0.0,L0.0,0.0,0.0,H0.0,0.0,0.0,0.0
7 Iron,53,119.6,L2.9,9.2,4600,L30.5,3964,L2334,12.7,155.4,173.9,L35.3,26.2,R6.0,L4.8,0.7,12.5,H16.1,-31.8,40.3,1.3
7 Iron,54,118.3,L1.1,21.8,6239,L10.7,6131,L1156,38.6,164.8,166.4,L18.8,51.3,R3.7,L2.2,-1.9,29.7,T10.7,-22.3,40.7,1.3
7 Iron,55,107.0,R0.3,9.4,4087,R3.2,4080,R230,11.2,139.3,158.6,R3.1,25.0,R5.1,R0.1,-2.3,13.5,T18.3,-28.1,38.9,1.2
7 Iron,56,109.5,L0.0,20.4,6697,L1.8,6694,L207,30.6,149.7,151.7,L2.3,47.9,R1.5,L0.4,-2.7,28.0,T17.7,-25.3,40.9,1.2
7 Iron,57,80.8,L4.4,3.6,T7091,L76.2,T1690,L6887,0.0,0.0,92.9,0.0,0.0,R5.5,L6.5,1.2,4.8,T15.1,-33.8,39.9,0.9
Driver,0,159.4,R2.1,12.3,2543,R2.8,2534,R248,46.2,272.1,289.3,R14.2,32.8,R0.8,R2.2,4.1,13.2,T3.4,-29.4,48.1,1.48
Driver,1,152.8,L3.2,13.8,2891,L18.4,2743,L947,44.1,258.7,270.2,L28.4,35.1,L1.2,L3.8,3.8,15.1,H8.6,-31.8,47.8,1.43
Driver,2,163.2,L0.8,11.2,2318,L1.2,2315,L88,44.8,279.6,298.1,L4.3,30.4,R1.4,L0.2,4.8,12.1,T1.2,-27.4,49.3,1.49
Driver,3,157.4,R1.5,14.2,3089,R4.1,3072,R400,49.2,263.8,274.1,R9.7,35.8,R2.1,R1.4,2.9,15.4,T5.8,-29.8,48.5,1.46
Driver,4,160.8,L1.2,12.8,2612,L6.8,2582,L370,46.7,273.9,291.2,L8.6,33.2,R0.3,L1.4,4.2,13.8,H2.1,-28.4,49.1,1.47
